"REV_OUTCOME","p_value","r_value","excluded_study","num_of_studies"
"CD010726_4",0.818417528083011,0.818417528083011,"STD-Tan-2006",11
"CD010726_5",0.493476876745719,0.672626216586334,"STD-Elgohary-2011",6
"CD010726_7",0.495257492498505,0.500033599052669,"STD-Elton-2001",4
"CD010735_4",0.380824666869365,0.380824666869365,"STD-Schargus-2015",11
"CD010741_1",1,1,"STD-Potura-2015",3
"CD010744_1",0.084217165972294,0.0983060976334488,"STD-Tashkin-2011",5
"CD010744_2",0.00261500321212175,0.0034454590211985,"STD-Tashkin-2011",8
"CD010744_3",0.00913645720952684,0.0105892305535404,"STD-Tashkin-2011",5
"CD010744_4",0.141033583257979,0.141033583257979,"STD-Tonnesen-2006",3
"CD010744_5",0.131202167297942,0.141033583257979,"STD-Tonnesen-2006",3
"CD010744_6",0.00861996696936696,0.0104770411333286,"STD-Tashkin-2011",5
"CD010746_2",0.661677173286895,0.751436059394693,"STD-Chevrier-1999",5
"CD010746_4",3.16749511413359e-06,0.000326613497940487,"STD-Barnebey-1993",6
"CD010746_5",2.73715845661298e-11,1.60996864718385e-05,"STD-David-1993",5
"CD010746_1",4.95907572514963e-09,3.60468378100921e-06,"STD-David-1993",9
"CD010758_2",0.44220714570461,0.966480464640879,"STD-Busse-2013",5
"CD010758_3",0.726751286604556,0.726751286604556,"STD-NCT01134042",4
"CD010758_5",0.321394628068062,0.875952877688909,"STD-Lin-2013",3
"CD010767_1",0.739778063514778,0.856085610924832,"STD-Desai-2003-KEN",9
"CD010767_2",0.872542319876314,0.872542319876314,"STD-Verhoef-2002-KEN",12
"CD010770_4",1.96077095760169e-15,1.96077095760169e-15,"STD-Donnez-2012a",8
"CD010770_6",0.000261359953398189,0.000261359953398189,"STD-Donnez-2012",5
"CD010777_1",0.046939333503121,0.141158271128762,"STD-Zarbock-2015",31
"CD010777_2",0.136828641622384,0.28263133709667,"STD-Zimmerman-2011",8
"CD010777_3",0.542163676270358,0.937791775150686,"STD-Zarbock-2015",8
"CD010777_4",0.182400899009313,0.693485016526559,"STD-Zarbock-2015",6
"CD010782_2",8.4957484080493e-07,8.4957484080493e-07,"STD-Ohta-2012",13
"CD010782_5",1.84189820956101e-06,1.84189820956101e-06,"STD-Ohta-2012",15
"CD010782_6",0.648980702967805,0.648980702967805,"STD-Rowbotham-2012",3
"CD010782_7",1.83445696397381e-11,1.90959158318657e-08,"STD-Mease-2008",16
"CD010782_8",0.119948905328177,0.59790114246523,"STD-Arnold-2007",12
"CD010782_9",9.43024463426525e-31,9.43024463426525e-31,"STD-Ohta-2012",13
"CD010782_13",3.13807169744895e-07,3.13807169744895e-07,"STD-Ohta-2012",13
"CD010800_1",0.762704388505226,0.762704388505226,"STD-Wenstrom-1997b",3
"CD010807_1",1.62473692399322e-21,1.46273575978466e-18,"STD-Kang-1992",58
"CD010807_2",4.16422243835155e-05,0.000550635088708698,"STD-Fox-1996",18
"CD010807_3",0.00244150752445052,0.00968421579254998,"STD-Kleyweg-1995",3
"CD010807_4",9.31215306821971e-21,1.17040929581953e-17,"STD-Kang-1992",43
"CD010807_5",2.69793510024741e-10,1.31955511239886e-06,"STD-Kang-1992",27
"CD010807_6",2.11192112794321e-10,4.10716564185679e-09,"STD-Shah-2010",46
"CD010807_7",4.36691081264356e-11,3.36888191014774e-10,"STD-Shah-2010",21
"CD010807_8",9.20037403502543e-18,3.80596033224042e-16,"STD-Shah-2010",36
"CD010807_9",0.8348410878451,0.8348410878451,"STD-Smith-1994",6
"CD010807_10",0.493495598357063,0.872230122662802,"STD-Campbell-1993",19
"CD010807_11",0.0101735997532696,0.0101735997532696,"STD-Muller-1994",15
"CD010814_1",0.00395152462761661,0.00510564620379387,"STD-Campanelli-2012",19
"CD010814_2",0.261915380457046,0.799607705723573,"STD-Kim_x002d_Fuchs-2012",10
