REV_OUTCOME,p-value,r-value,excluded_study,num_of_studie,diff,p_sig,r_sig,sig_to_insig
CD000239_7,0.0,0.0001,STD-Wolff-2000,13,0.0001,1,1,0
CD000244_1,0.00135,0.0057399999999999994,STD-Boxma-1996,31,0.00439,1,1,0
CD000244_4,0.026810000000000004,0.43815,STD-McQueen-1990,8,0.41134,1,0,1
CD000246_1,0.0030800000000000003,0.0033200000000000005,STD-Oyarzun-1998,32,0.00023999999999999998,1,1,0
CD000246_20,0.0,1e-05,STD-Kenyon-2001a,25,1e-05,1,1,0
CD000246_22,0.00058,0.03878,STD-Kenyon-2001a,6,0.0382,1,1,0
CD000246_13,0.00193,0.02458,STD-Kenyon-2001a,6,0.02265,1,1,0
CD000246_14,0.0057799999999999995,0.00886,STD-Romero-1993,17,0.0030800000000000003,1,1,0
CD000247_2,7e-05,0.21269000000000002,STD-Kaiser-1996,4,0.21261999999999998,1,0,1
CD000247_7,0.02027,0.9517700000000001,STD-Herne-1980,5,0.9315,1,0,1
CD000247_8,0.0,0.004070000000000001,STD-Kaiser-1996,6,0.004070000000000001,1,1,0
CD000247_10,0.0,0.00065,STD-Kaiser-1996,4,0.00065,1,1,0
CD000248_8,0.00016,0.0005200000000000001,STD-VA-Study-1961,8,0.00036,1,1,0
CD000248_10,0.00346,0.0055899999999999995,STD-Nat_x002d_Coop-1962,10,0.00213,1,1,0
CD000249_6,0.04365,0.06697,STD-Preston-1995,12,0.02332,1,0,1
CD000255_1,0.00503,0.00719,STD-Arauz-2006,12,0.00216,1,1,0
CD000256_3,0.00248,0.11079000000000001,STD-CardosoBRZ93_x002d_4,7,0.10830999999999999,1,0,1
CD000256_5,0.0398,0.44764,STD-KarbwangTHI93,38,0.40784000000000004,1,0,1
CD000269_5,0.01665,0.01797,STD-Agnoli-1985,4,0.00132,1,1,0
CD000270_1,0.00067,0.00942,STD-Burns-1993,8,0.00875,1,1,0
CD000277_1,2e-05,4e-05,STD-Pickard-1989,39,2e-05,1,1,0
CD000277_2,0.00704,0.018969999999999997,STD-Pickard-1989,24,0.01193,1,1,0
CD000277_3,0.0027300000000000002,0.011040000000000001,STD-Pickard-1989,14,0.00831,1,1,0
CD000283_2,0.0287,0.03388,STD-V_x002d_-Beresford-1987,11,0.00518,1,1,0
CD000284_2,0.0,2.9999999999999997e-05,STD-Prien-1968,10,2.9999999999999997e-05,1,1,0
CD000284_4,1e-05,1e-05,STD-Clark-1971,38,0.0,1,1,0
CD000284_6,0.0,0.0,STD-Cole-1964,29,0.0,1,1,0
CD000284_8,0.0,0.0,STD-Prien-1968,29,0.0,1,1,0
CD000284_11,0.0,0.0,STD-Prien-1968,11,0.0,1,1,0
CD000284_12,0.0,0.0,STD-Cole-1964,67,0.0,1,1,0
CD000284_18,0.0,0.0,STD-Prien-1968,38,0.0,1,1,0
CD000284_19,0.0,0.0,STD-Prien-1968,28,0.0,1,1,0
CD000284_20,0.0,0.0,STD-Prien-1968,47,0.0,1,1,0
CD000284_21,0.0,0.0,STD-Prien-1968,38,0.0,1,1,0
CD000284_22,0.00165,0.00349,STD-Ramu-1999a,14,0.0018399999999999998,1,1,0
CD000284_23,0.0,0.0,STD-Fink-1963,14,0.0,1,1,0
CD000284_24,0.0,0.0,STD-Fink-1963,27,0.0,1,1,0
CD000284_26,0.0239,0.18894,STD-Clark-1972,4,0.16504000000000002,1,0,1
CD000296_1,0.0,0.0,STD-Thomsen-1998,42,0.0,1,1,0
CD000296_3,0.0,0.00035,STD-Campieri-1997,3,0.00035,1,1,0
CD000296_4,0.0,5.9999999999999995e-05,STD-Tremaine-2002,16,5.9999999999999995e-05,1,1,0
CD000296_6,0.0,0.0,STD-Bar_x002d_Meir-1998,13,0.0,1,1,0
CD000296_8,0.029910000000000003,0.38724000000000003,STD-Tremaine-2002,13,0.35733000000000004,1,0,1
CD000297_1,0.03053,0.14679,STD-Feagan-1994,7,0.11625999999999999,1,0,1
CD000305_1,0.0,0.0,STD-Jorgensen-1992,39,0.0,1,1,0
CD000305_5,0.00011999999999999999,0.0002,STD-Galasko-1976,24,8e-05,1,1,0
CD000305_6,0.00309,0.00443,STD-Sourmelis-1995b,40,0.00134,1,1,0
CD000305_7,0.01289,0.02001,STD-Dulic-1996,19,0.0071200000000000005,1,1,0
CD000305_8,0.002,0.00526,STD-Gargan-1993,22,0.0032600000000000003,1,1,0
CD000308_1,0.0048,0.16184,STD-Couser-1992,5,0.15704,1,0,1
CD000323_1,0.03985,0.13864,STD-FOOD-2-2005,20,0.09879,1,0,1
CD000323_5,0.014519999999999998,0.07072,STD-Carnaby-2006a,11,0.0562,1,0,1
CD000323_6,0.0,2e-05,STD-Liu-2000,16,2e-05,1,1,0
CD000323_8,0.01235,0.6863100000000001,STD-Hamidon-2006,4,0.67396,1,0,1
CD000324_1,0.02217,0.07662000000000001,STD-Fernandez-1998,39,0.05445,1,0,1
CD000326_13,0.0,0.0,STD-Toelle-1993,9,0.0,1,1,0
CD000326_15,0.0,0.0,STD-Toelle-1993,9,0.0,1,1,0
CD000328_2,0.04716,0.1149,STD-Keszler-1997,5,0.06774,1,0,1
CD000328_3,0.04779,0.09487000000000001,STD-Keszler-1997,4,0.047080000000000004,1,0,1
CD000329_1,0.00375,0.01296,STD-Dwyer-1993,8,0.00921,1,1,0
CD000329_3,0.0,0.0,STD-Zupi-2003,13,0.0,1,1,0
CD000329_4,0.00205,0.00263,STD-Dwyer-1993,10,0.00058,1,1,0
CD000329_5,0.00032,0.00047000000000000004,STD-Dwyer-1993,35,0.00015,1,1,0
CD000329_8,0.03822,0.1289,STD-Pinion-1994,3,0.09068,1,0,1
CD000331_3,0.0,0.0,STD-Ramin-1995,7,0.0,1,1,0
CD000331_6,0.0,0.0,STD-Dickinson-2002,14,0.0,1,1,0
CD000331_9,0.0,0.0,STD-Sharma-1997,8,0.0,1,1,0
CD000331_17,0.00147,0.00335,STD-Nafisi-2006,6,0.0018800000000000002,1,1,0
CD000331_19,0.0,0.39624000000000004,STD-Halpern-2004,4,0.39624000000000004,1,0,1
CD000331_32,0.00288,0.00586,STD-Hogg-2000,9,0.00298,1,1,0
CD000331_37,0.0,0.0,STD-Ramin-1995,7,0.0,1,1,0
CD000331_1,0.0,0.0,STD-Sharma-1997,13,0.0,1,1,0
CD000338_4,0.00317,0.0056700000000000006,STD-Hogh-1981,8,0.0025,1,1,0
CD000338_5,0.00317,0.0056700000000000006,STD-Hogh-1981,8,0.0025,1,1,0
CD000338_7,0.00121,0.007109999999999999,STD-Juhn-1988,6,0.0059,1,1,0
CD000338_21,0.04203,0.04278,STD-Chapman-1981,9,0.000750000000000001,1,1,0
CD000338_22,0.04203,0.052579999999999995,STD-Chapman-1981,9,0.01055,1,0,1
CD000338_23,0.0,0.0,STD-Nungu-1991,10,0.0,1,1,0
CD000338_26,0.00317,0.0056700000000000006,STD-Hogh-1981,8,0.0025,1,1,0
CD000339_4,0.02017,0.02599,STD-Buciuto-1998,13,0.0058200000000000005,1,1,0
CD000339_11,0.028010000000000004,0.06512000000000001,STD-Peyser-2007,11,0.037110000000000004,1,0,1
CD000345_3,0.00484,0.00818,STD-Krogsgaard-1996,79,0.0033399999999999997,1,1,0
CD000345_4,0.0139,0.01842,STD-Krogsgaard-1996,89,0.004520000000000001,1,1,0
CD000345_6,0.01354,0.02415,STD-Liaw-1994,81,0.01061,1,1,0
CD000359_1,0.0245,0.04666,STD-McConnachie-1973,9,0.02216,1,1,0
CD000359_2,0.00812,0.013219999999999999,STD-Lazzari-1983,11,0.0051,1,1,0
CD000359_3,0.00494,0.013219999999999999,STD-Lazzari-1983,11,0.00828,1,1,0
CD000359_4,0.00492,0.013219999999999999,STD-Lazzari-1983,11,0.0083,1,1,0
CD000359_5,0.00763,0.013219999999999999,STD-Lazzari-1983,11,0.0055899999999999995,1,1,0
CD000359_6,0.00812,0.013219999999999999,STD-Lazzari-1983,11,0.0051,1,1,0
CD000359_7,0.00763,0.013219999999999999,STD-Lazzari-1983,11,0.0055899999999999995,1,1,0
CD000361_2,0.01743,0.0581,STD-Atici-1996,16,0.04067,1,0,1
CD000366_1,0.03818,0.64988,STD-Hallman-1992,3,0.6117,1,0,1
CD000368_12,0.00058,0.00207,STD-Byrd-1988,58,0.00149,1,1,0
CD000380_1,0.04693,0.17485,STD-Prins-1978,14,0.12792,1,0,1
CD000380_2,1e-05,0.0028699999999999997,STD-Prins-1978,26,0.00286,1,1,0
CD000380_3,0.02009,0.47963999999999996,STD-Pijnenburg-2003,11,0.45955,1,0,1
CD000380_4,0.0006,0.00324,STD-Prins-1978,14,0.00264,1,1,0
CD000380_7,0.00137,0.03065,STD-Povacz-1998,7,0.02928,1,1,0
CD000380_13,0.00014,0.07431,STD-Moller_x002d_Larsen-1988,3,0.07417,1,0,1
CD000380_18,0.0,0.00015,STD-Povacz-1998,20,0.00015,1,1,0
CD000380_23,0.0,0.00033,STD-Prins-1978,36,0.00033,1,1,0
CD000386_5,0.022580000000000003,0.06317,STD-Staedke-2001,6,0.04059,1,0,1
CD000396_3,0.00317,0.09487000000000001,STD-Weber-1993,14,0.0917,1,0,1
CD000396_4,0.03628,0.03628,STD-Famaey-1998,7,0.0,1,1,0
CD000398_17,0.044219999999999995,0.65333,STD-ENOS-2015,9,0.60911,1,0,1
